36,8,15,0.222,7,2,1,0.286,16.808,19.08,95,7,64,12,9,0.188,25,5,4,0.2,16.018,16.024,87,7,0
92,19,15,0.207,2,1,1,0.5,16.147,16.189,126,8,24,9,6,0.375,7,3,2,0.429,16.283,16.304,95,5,1
92,19,15,0.207,2,1,1,0.5,16.147,16.189,126,8,16,8,2,0.5,4,2,1,0.5,16.273,16.325,65,8,1
10,0,1,0.0,2,0,1,0.0,15.58,15.504,65,7,89,18,15,0.202,12,4,6,0.333,16.268,16.077,109,5,0
21,6,5,0.286,2,0,1,0.0,16.206,16.285,58,9,110,15,18,0.136,15,4,6,0.267,15.945,16.754,152,9,1
34,7,10,0.206,9,0,1,0.0,16.646,16.216,63,5,45,7,14,0.156,5,2,3,0.4,15.659,15.573,84,6,1
40,10,7,0.25,10,1,4,0.1,16.304,16.338,100,11,45,7,14,0.156,5,2,3,0.4,15.659,15.573,84,6,1
74,15,10,0.203,16,2,9,0.125,16.237,16.178,119,7,7,3,2,0.429,3,0,1,0.0,16.343,16.255,65,8,0
53,8,14,0.151,4,0,1,0.0,16.162,15.92,89,7,25,9,5,0.36,13,5,4,0.385,16.109,16.212,63,5,1
37,9,7,0.243,29,4,8,0.138,16.134,16.123,122,7,7,3,2,0.429,3,0,1,0.0,16.343,16.255,65,8,0
32,10,6,0.313,11,1,6,0.091,16.067,16.136,66,7,26,5,8,0.192,9,0,1,0.0,17.256,15.811,76,10,1
26,6,5,0.231,7,3,3,0.429,15.796,15.841,84,9,65,15,13,0.231,12,1,5,0.083,16.707,16.489,105,5,1
26,6,5,0.231,7,3,3,0.429,15.796,15.841,84,9,80,13,18,0.163,15,1,2,0.067,15.967,16.015,99,8,1
36,7,10,0.194,6,1,1,0.167,15.938,16.049,73,5,65,15,13,0.231,12,1,5,0.083,16.707,16.489,105,5,1
36,7,10,0.194,6,1,1,0.167,15.938,16.049,73,5,80,13,18,0.163,15,1,2,0.067,15.967,16.015,99,8,1
37,16,5,0.432,1,1,1,1.0,16.609,16.54,102,9,32,6,9,0.188,9,0,1,0.0,16.047,16.091,86,7,0
10,1,1,0.1,2,0,1,0.0,18.023,16.016,63,9,6,2,4,0.333,2,1,1,0.5,16.39,16.386,121,7,1
10,1,1,0.1,2,0,1,0.0,18.023,16.016,63,9,31,7,9,0.226,5,1,2,0.2,16.112,15.824,91,9,1
9,0,1,0.0,1,0,1,0.0,15.807,15.697,56,7,61,10,12,0.164,15,4,4,0.267,15.679,15.716,100,7,0
25,4,11,0.16,1,1,1,1.0,16.911,16.291,102,8,17,3,6,0.176,4,0,1,0.0,15.868,15.866,59,8,1
81,22,10,0.272,37,9,10,0.243,16.472,16.784,100,7,17,3,6,0.176,4,0,1,0.0,15.868,15.866,59,8,1
