2,1,2,5,0,3,2,3.05,36.2,4.0,9,0
3,2,0,3,2,2,3,2.15,26.7,2.0,7,1
2,0,3,3,2,3,2,5.0,33.0,3.0,7,0
2,3,0,2,3,4,1,2.3,28.0,2.0,10,1
2,2,1,3,2,3,2,3.35,39.7,5.0,7,0
3,0,2,1,4,3,2,4.8,29.5,4.0,11,0
1,2,2,4,1,4,1,7.4,34.2,4.0,5,1
1,2,2,5,0,1,4,6.4,32.8,5.0,7,0
3,0,2,5,0,2,3,3.3,33.2,3.0,4,1
2,1,2,4,1,2,3,3.5,34.6,4.0,7,0
1,1,3,3,2,4,1,4.3,30.2,3.0,4,0
2,2,1,3,2,4,1,2.8,31.2,2.0,5,1
1,0,4,4,1,3,2,4.6,26.8,1.0,9,1
0,1,2,2,1,2,1,3.667,32.4,1.0,7,0
3,1,1,5,0,2,3,4.0,34.5,3.0,5,0
3,0,2,3,2,2,3,6.0,32.2,4.0,6,1
3,1,1,2,3,2,3,4.0,25.0,4.0,8,1
2,1,2,5,0,3,2,3.4,27.1,3.0,4,0
2,0,3,5,0,3,2,4.05,31.8,2.0,11,0
3,2,0,2,3,3,2,4.0,26.8,2.0,9,1
3,0,2,5,0,1,4,5.0,30.3,2.0,8,0
2,1,2,3,2,2,3,6.6,33.3,2.0,5,1
2,1,2,1,4,5,0,4.8,32.7,2.0,7,1
1,0,4,5,0,4,1,3.8,34.8,4.0,7,1
2,0,3,5,0,3,2,3.75,34.8,2.0,12,1
1,0,4,3,2,5,0,3.7,25.3,2.0,8,1
2,0,3,4,1,3,2,4.6,30.9,4.0,8,0
2,1,2,3,2,2,3,5.1,24.7,4.0,7,0
3,1,1,4,1,1,4,3.65,29.0,3.0,8,1
2,0,3,3,2,3,2,2.25,25.3,3.0,8,1
2,1,2,3,2,1,4,7.1,32.5,3.0,8,1
5,0,0,4,1,1,4,4.3,26.4,5.0,16,0
2,1,2,3,2,2,3,5.4,26.4,2.0,8,1
4,0,1,1,4,3,2,3.4,26.6,3.0,7,0
1,1,3,4,1,2,3,5.0,32.4,3.0,11,0
2,3,0,5,0,0,5,7.2,24.3,3.0,7,0
